mach,alpha_deg,protuberance,cd_power_off,CD_Power_On,CA_Power_Off,CA_Power_On,CN_Total,CP_Total
0.11,12.0,1.0,0.878,0.853,0.602,0.576,1.393,87.169
0.11,13.0,0.0,0.778,0.752,0.45,0.424,1.509,87.169
0.11,13.0,1.0,0.93,0.905,0.606,0.58,1.509,87.169
0.11,14.0,0.0,0.833,0.808,0.453,0.427,1.626,87.169
0.11,14.0,1.0,0.986,0.961,0.611,0.585,1.626,87.169
0.11,15.0,0.0,0.893,0.867,0.458,0.431,1.742,87.169
0.11,15.0,1.0,1.047,1.021,0.617,0.59,1.742,87.169
0.12,0.0,0.0,0.424,0.4,0.424,0.4,0.0,87.169
0.12,0.0,1.0,0.573,0.548,0.573,0.548,0.0,87.169
0.12,1.0,0.0,0.426,0.402,0.424,0.4,0.116,87.169
0.12,1.0,1.0,0.575,0.55,0.573,0.548,0.116,87.169
0.12,2.0,0.0,0.433,0.408,0.425,0.4,0.232,87.169
0.12,2.0,1.0,0.581,0.557,0.574,0.549,0.232,87.169
0.12,3.0,0.0,0.443,0.418,0.425,0.401,0.348,87.169
0.12,3.0,1.0,0.592,0.567,0.574,0.55,0.348,87.169
0.12,4.0,0.0,0.458,0.433,0.426,0.401,0.464,87.169
0.12,4.0,1.0,0.607,0.582,0.576,0.551,0.464,87.169
0.12,5.0,0.0,0.476,0.452,0.427,0.403,0.581,87.169
0.12,5.0,1.0,0.626,0.601,0.577,0.552,0.581,87.169
0.12,6.0,0.0,0.499,0.475,0.429,0.404,0.697,87.169
0.12,6.0,1.0,0.649,0.624,0.579,0.554,0.697,87.169
0.12,7.0,0.0,0.526,0.502,0.431,0.406,0.813,87.169
0.12,7.0,1.0,0.676,0.651,0.581,0.556,0.813,87.169
0.12,8.0,0.0,0.558,0.533,0.433,0.407,0.929,87.169
0.12,8.0,1.0,0.708,0.683,0.584,0.559,0.929,87.169
0.12,9.0,0.0,0.593,0.568,0.435,0.41,1.045,87.169
0.12,9.0,1.0,0.743,0.718,0.587,0.562,1.045,87.169
0.12,10.0,0.0,0.632,0.607,0.437,0.412,1.161,87.169
0.12,10.0,1.0,0.783,0.758,0.591,0.565,1.161,87.169
0.12,11.0,0.0,0.676,0.651,0.44,0.415,1.277,87.169
0.12,11.0,1.0,0.827,0.802,0.595,0.569,1.277,87.169
0.12,12.0,0.0,0.723,0.698,0.443,0.418,1.393,87.169
0.12,12.0,1.0,0.875,0.85,0.599,0.573,1.393,87.169
0.12,13.0,0.0,0.775,0.75,0.447,0.421,1.509,87.169
0.12,13.0,1.0,0.927,0.902,0.603,0.577,1.509,87.169
